index;first_name;name;age;numero_securite_sociale
1;Marc;Ben;36;1 51 03 31 040 931 97
2;Jean;Dugommier;54;1 84 05 69 595 015 56
3;Margaux;Leforgeron;63;1 48 10 35 518 546 61
4;Jean;Macron;118;1 64 07 76 266 116 44
5;Marc;Lepetit;58;1 17 07 93 404 669 59
6;Jean;Wilson;48;1 33 05 24 023 771 38
7;Mathilde;Leforgeron;70;1 85 09 09 855 021 83
8;Jean;Hammon;10;1 61 07 88 394 309 03
9;Margaux;Ruffin;89;1 63 05 66 545 856 36
10;Benoit;Jack;22;1 77 08 80 089 300 91
11;Jean;Dugommier;53;1 34 04 81 300 114 88
12;Margaux;Ruffin;119;1 54 01 20 232 392 94
13;Albert;Ben;119;1 86 11 49 935 230 88
14;Cyril;Ben;35;1 07 07 52 016 199 34
15;Mathilde;Valls;79;1 36 02 75 007 427 97
16;Nathan;Macron;44;1 37 11 84 198 083 75
17;Margaux;Dugommier;15;1 04 11 69 979 594 81
18;Cyril;Dugommier;37;1 53 06 56 855 490 59
19;Margaux;Wilson;61;1 76 04 33 477 547 59
20;Marie;Jack;77;1 05 11 56 443 547 44
21;Benoit;Ruffin;47;1 55 02 07 873 044 53
22;Marc;Hammon;57;1 22 01 54 366 630 41
23;Roger;Valls;7;1 34 04 70 196 648 75
24;Roger;Valls;71;1 88 05 52 682 761 73
25;Marie;Wilson;119;1 87 01 91 744 381 24
26;Nathan;Ben;11;1 02 07 85 359 324 86
27;Marc;Lepetit;118;1 08 08 45 770 197 75
28;Cyril;Macron;104;1 67 05 20 658 561 83
29;Roger;Ben;44;1 16 09 40 537 392 75
30;Mathilde;Wilson;20;1 72 10 22 871 233 17
31;Nathan;Ruffin;58;1 32 10 49 255 792 31
32;Roger;Leforgeron;72;1 66 03 76 312 316 71
33;Roger;Hammon;114;1 22 01 71 830 263 75
34;Marc;Dugommier;43;1 45 06 25 337 856 46
35;François;Macron;66;1 51 03 17 374 199 75
36;Benoit;Dugommier;27;1 31 02 92 433 961 42
37;Albert;Lepetit;108;1 65 10 04 389 012 59
38;Roger;Leforgeron;59;1 02 05 57 527 808 41
39;François;Macron;49;1 86 03 84 869 403 54
40;Nathan;Lepetit;103;1 21 11 45 139 629 69
41;Nathan;Ben;41;1 81 05 71 886 095 90
42;Jean;Jack;95;1 05 03 34 133 601 53
43;François;Ruffin;39;1 86 05 74 382 159 30
44;Marie;Leforgeron;5;1 06 08 54 790 311 53
45;Margaux;Lepetit;56;1 17 05 44 549 518 94
46;Cyril;Dugommier;46;1 34 11 60 291 162 29
47;Benoit;Ben;113;1 38 04 22 850 649 57
48;Roger;Leforgeron;55;1 23 02 40 464 325 15
49;Jean;Hammon;76;1 38 05 91 886 646 28
50;François;Wilson;117;1 41 10 12 866 149 64
51;Cyril;Leforgeron;87;1 61 05 68 698 069 54
52;Cyril;Ruffin;112;1 47 08 14 588 317 69
53;Margaux;Valls;39;1 64 02 93 908 568 68
54;Cyril;Lepetit;31;1 84 07 70 778 623 86
55;Marie;Wilson;12;1 55 07 63 462 964 73
56;Albert;Dugommier;85;1 73 03 04 887 647 75
57;François;Leforgeron;104;1 43 09 63 447 256 75
58;Margaux;Leforgeron;35;1 43 05 11 638 665 58
59;Mathilde;Hammon;111;1 15 04 89 699 870 53
60;Cyril;Lepetit;106;1 55 08 25 413 456 76
61;Nathan;Lepetit;78;1 03 07 24 491 700 13
62;Marc;Ben;13;1 23 04 09 382 950 63
63;Marie;Lepetit;69;1 51 03 71 624 790 10
64;Albert;Macron;81;1 28 09 54 578 162 64
65;Nathan;Jack;76;1 81 04 52 701 081 15
66;Nathan;Hammon;77;1 26 02 68 440 360 39
67;Marie;Hammon;7;1 56 11 48 273 755 67
68;Marie;Valls;83;1 63 03 55 843 554 89
69;Marie;Dugommier;88;1 13 11 22 783 864 62
70;Margaux;Valls;30;1 81 01 19 250 206 21
71;Jean;Lepetit;111;1 21 09 87 220 842 02
72;Nathan;Ben;74;1 14 08 25 232 119 29
73;Albert;Hammon;66;1 25 09 48 387 897 53
74;Benoit;Wilson;87;1 85 08 94 219 794 65
75;Marc;Valls;99;1 24 07 57 160 119 37
76;François;Lepetit;114;1 36 07 46 629 215 20
77;Jean;Lepetit;99;1 27 09 08 437 789 92
78;Roger;Wilson;45;1 31 03 92 536 753 77
79;Nathan;Ben;52;1 16 09 39 719 382 50
80;François;Wilson;81;1 88 11 81 586 164 80
81;Jean;Leforgeron;18;1 27 07 76 313 766 04
82;Mathilde;Dugommier;97;1 75 11 58 770 898 46
83;Mathilde;Ruffin;77;1 56 03 68 338 157 44
84;Jean;Ruffin;50;1 35 05 26 592 993 53
85;Marc;Jack;90;1 05 02 39 805 197 68
86;Jean;Valls;73;1 73 10 55 607 871 24
87;Marie;Wilson;113;1 26 08 44 713 560 60
88;Marie;Lepetit;72;1 48 06 92 923 254 01
89;Nathan;Leforgeron;98;1 85 02 10 079 220 18
90;François;Dugommier;89;1 05 03 31 199 238 77
91;Benoit;Ruffin;8;1 86 02 26 286 478 05
92;Margaux;Ben;98;1 77 02 89 822 032 91
93;Mathilde;Macron;33;1 75 11 62 603 535 14
94;Roger;Ruffin;97;1 22 08 85 407 314 38
95;Marie;Macron;89;1 38 11 73 441 067 97
96;Marc;Lepetit;74;1 41 04 36 627 062 46
97;François;Macron;14;1 12 08 02 535 540 68
98;Cyril;Hammon;39;1 68 01 59 232 991 35
99;Benoit;Ben;61;1 88 04 58 316 977 03
100;Roger;Wilson;57;1 42 04 33 532 286 78
101;Nathan;Ruffin;36;1 21 11 18 161 058 37
102;Benoit;Hammon;39;1 15 02 83 563 416 15
103;François;Hammon;14;1 15 01 05 482 489 13
104;Marc;Leforgeron;105;1 57 05 47 041 597 27
105;Nathan;Jack;92;1 45 09 21 665 912 86
106;Nathan;Macron;7;1 22 10 78 349 209 30
107;Jean;Jack;96;1 47 03 55 366 075 40
108;Albert;Hammon;4;1 05 08 05 284 776 55
109;Cyril;Valls;48;1 48 05 77 921 330 05
110;Nathan;Hammon;80;1 82 04 45 811 301 83
111;Mathilde;Valls;14;1 85 07 79 517 473 48
112;François;Valls;3;1 34 08 48 905 987 64
113;Mathilde;Ruffin;38;1 42 03 63 767 182 41
114;Margaux;Ruffin;19;1 11 05 68 749 163 33
115;Marc;Hammon;20;1 55 05 84 732 022 61
116;Cyril;Lepetit;54;1 43 03 06 858 363 58
117;Albert;Dugommier;42;1 22 02 33 282 921 90
118;Cyril;Wilson;30;1 17 10 48 257 022 12
119;Marie;Jack;94;1 41 09 91 868 826 20
120;Jean;Jack;26;1 66 04 92 092 146 27
121;Benoit;Ben;31;1 35 10 65 436 093 38
122;Nathan;Ben;105;1 43 04 94 806 112 22
123;Margaux;Lepetit;50;1 78 09 86 071 952 82
124;Benoit;Ben;49;1 16 04 43 594 649 38
125;Nathan;Macron;95;1 03 11 34 160 891 56
126;Nathan;Ruffin;73;1 83 10 50 728 774 02
127;Cyril;Dugommier;71;1 71 01 82 469 017 69
128;Mathilde;Wilson;87;1 21 08 11 458 753 82
129;François;Wilson;64;1 65 06 19 926 604 60
130;Marc;Ruffin;41;1 43 06 36 863 073 83
131;Benoit;Ben;102;1 44 08 62 175 861 95
132;Marie;Lepetit;11;1 64 09 29 230 118 82
133;Jean;Macron;84;1 85 06 55 696 827 67
134;Albert;Dugommier;21;1 07 06 32 888 507 95
135;Roger;Wilson;117;1 44 09 93 803 919 92
136;Margaux;Lepetit;25;1 61 04 56 481 714 26
137;Margaux;Ruffin;30;1 11 11 38 617 108 77
138;Nathan;Valls;79;1 68 01 02 134 076 70
139;Marie;Lepetit;62;1 04 10 30 429 567 84
140;François;Dugommier;118;1 86 03 03 406 512 93
141;François;Ben;13;1 85 01 66 915 111 71
142;Marc;Ben;90;1 35 01 50 547 283 12
143;Benoit;Ben;102;1 77 07 33 085 589 26
144;François;Dugommier;110;1 18 07 45 048 984 15
145;Cyril;Leforgeron;69;1 72 09 51 499 457 43
146;Marc;Leforgeron;17;1 85 11 93 282 597 79
147;Jean;Wilson;57;1 84 09 58 788 127 34
148;Benoit;Ruffin;113;1 06 05 51 094 799 65
149;Nathan;Ben;63;1 18 01 16 582 405 83
150;Marc;Dugommier;5;1 54 08 22 368 594 09
151;Mathilde;Valls;107;1 34 08 87 723 370 09
152;Benoit;Lepetit;5;1 71 06 27 886 097 87
153;Albert;Leforgeron;107;1 15 01 16 230 307 92
154;Nathan;Macron;22;1 17 09 49 429 534 20
155;Roger;Valls;104;1 55 05 72 366 197 47
156;Nathan;Valls;88;1 25 11 24 343 594 55
157;Mathilde;Macron;91;1 74 06 11 252 647 28
158;Marc;Macron;16;1 51 07 24 513 304 81
159;Albert;Macron;51;1 25 07 72 755 288 90
160;Roger;Leforgeron;93;1 37 02 83 647 665 95
161;Jean;Dugommier;14;1 03 05 24 309 009 76
162;Benoit;Leforgeron;39;1 21 09 83 764 199 16
163;Marie;Dugommier;78;1 71 09 71 234 553 29
164;Albert;Ruffin;58;1 65 08 74 414 038 59
165;François;Hammon;74;1 76 04 11 390 974 33
166;Margaux;Jack;54;1 41 03 54 008 883 08
167;Benoit;Ruffin;40;1 14 11 26 881 757 08
168;Marc;Hammon;40;1 15 08 44 309 097 85
169;Cyril;Leforgeron;1;1 11 09 04 784 427 81
170;Margaux;Dugommier;102;1 66 06 41 863 932 27
171;François;Leforgeron;89;1 66 05 52 200 644 53
172;Nathan;Dugommier;40;1 31 02 73 426 886 63
173;Marie;Dugommier;21;1 71 08 56 209 264 52
174;Albert;Wilson;62;1 14 06 78 222 591 04
175;François;Dugommier;78;1 07 09 39 619 600 14
176;Marc;Hammon;72;1 36 06 38 197 173 20
177;Cyril;Valls;64;1 46 05 27 975 370 04
178;Cyril;Macron;48;1 36 08 36 412 393 45
179;Marc;Macron;51;1 53 09 72 021 871 28
180;Marie;Dugommier;6;1 02 10 73 704 942 88
181;Nathan;Hammon;8;1 25 01 33 452 237 38
182;Nathan;Dugommier;34;1 27 08 31 908 843 38
183;Albert;Wilson;59;1 55 07 31 424 613 40
184;Marc;Leforgeron;25;1 27 05 21 365 628 13
185;Nathan;Lepetit;76;1 04 04 29 817 829 08
186;Marc;Hammon;79;1 23 02 42 275 056 74
187;Marc;Ruffin;36;1 03 03 02 583 746 76
188;Albert;Valls;36;1 08 01 26 626 435 94
189;François;Hammon;111;1 64 11 93 758 613 44
190;Jean;Lepetit;40;1 06 09 80 393 928 64
191;Marc;Macron;3;1 61 09 61 538 415 33
192;François;Hammon;18;1 03 04 61 669 242 61
193;Benoit;Macron;21;1 71 04 19 481 606 68
194;François;Jack;104;1 26 06 55 303 326 92
195;Albert;Macron;18;1 61 06 85 343 642 69
196;Marie;Dugommier;24;1 56 06 07 476 852 96
197;Margaux;Ben;116;1 73 04 04 855 949 93
198;Mathilde;Hammon;94;1 46 07 08 295 768 57
199;Margaux;Leforgeron;59;1 81 06 90 340 868 03
200;Marc;Ruffin;33;1 07 10 03 490 411 86
201;Marie;Leforgeron;18;1 87 06 58 053 113 08
202;Jean;Hammon;101;1 33 01 69 659 173 05
203;Cyril;Hammon;86;1 85 04 53 239 819 16
204;Roger;Hammon;20;1 38 03 13 187 305 49
205;Mathilde;Valls;47;1 13 09 12 752 151 57
206;Cyril;Jack;60;1 43 08 61 328 791 22
207;Mathilde;Lepetit;27;1 02 11 55 161 978 59
208;Marc;Valls;27;1 52 02 34 745 444 88
209;Marc;Macron;17;1 53 06 74 285 923 03
210;Cyril;Wilson;110;1 05 11 39 133 157 75
211;Jean;Dugommier;29;1 43 05 91 988 335 04
212;Mathilde;Valls;114;1 32 10 36 720 506 35
213;Roger;Valls;50;1 48 09 63 105 718 11
214;Marie;Dugommier;30;1 65 01 71 678 582 21
215;Marie;Jack;92;1 34 06 05 861 168 67
216;Mathilde;Wilson;44;1 25 08 52 841 699 73
217;Marc;Valls;38;1 14 04 44 638 090 50
218;Marie;Wilson;93;1 31 11 13 183 344 71
219;Benoit;Dugommier;112;1 53 05 35 384 630 74
220;Marc;Lepetit;105;1 35 02 54 825 722 91
221;Albert;Lepetit;90;1 54 08 63 202 202 23
222;François;Leforgeron;103;1 56 11 06 109 003 33
223;Roger;Hammon;80;1 05 07 22 066 071 31
224;Nathan;Leforgeron;12;1 26 01 43 581 552 02
225;Mathilde;Hammon;15;1 36 02 77 076 958 61
226;Nathan;Ruffin;70;1 12 08 37 660 012 44
227;Roger;Valls;73;1 52 05 11 685 046 37
228;Jean;Ben;6;1 56 04 86 458 160 83
229;François;Macron;119;1 88 05 60 757 692 20
230;Cyril;Dugommier;81;1 86 04 38 982 375 24
231;Mathilde;Macron;20;1 67 05 47 793 585 39
232;Marie;Dugommier;80;1 34 02 30 654 796 59
233;Albert;Lepetit;25;1 82 09 92 242 902 18
234;Marie;Macron;100;1 63 02 61 833 126 06
235;François;Hammon;48;1 02 10 65 753 226 07
236;Benoit;Hammon;34;1 67 06 78 018 491 91
237;Margaux;Lepetit;73;1 71 10 01 735 613 57
238;Marie;Ben;57;1 63 02 84 770 255 46
239;Albert;Wilson;30;1 16 09 06 727 525 16
240;Roger;Lepetit;31;1 63 07 25 254 336 25
241;Cyril;Dugommier;7;1 01 03 49 512 546 30
242;Roger;Hammon;119;1 72 07 43 703 418 89
243;François;Leforgeron;59;1 04 07 22 891 747 34
244;Roger;Lepetit;69;1 76 02 24 545 641 83
245;Benoit;Wilson;66;1 38 10 01 947 981 12
246;Cyril;Ruffin;90;1 81 10 19 699 358 16
247;Nathan;Hammon;78;1 82 06 63 630 933 57
248;Jean;Macron;48;1 07 03 65 035 609 33
249;Roger;Wilson;10;1 06 05 70 563 914 15
250;François;Ruffin;53;1 66 05 35 550 753 76
251;Mathilde;Ruffin;116;1 04 03 79 144 134 48
252;Nathan;Wilson;19;1 05 09 17 626 365 34
253;François;Jack;110;1 11 03 19 188 940 64
254;Cyril;Ben;37;1 08 04 90 450 813 03
255;Cyril;Macron;92;1 42 06 75 560 465 29
256;Benoit;Leforgeron;41;1 12 07 08 331 303 90
257;Marie;Jack;109;1 85 05 85 535 199 69
258;Margaux;Ruffin;84;1 67 11 29 586 053 43
259;Marc;Valls;1;1 41 04 26 519 598 03
260;Marc;Hammon;54;1 73 02 05 986 661 78
261;Marc;Valls;49;1 02 01 14 027 016 31
262;Jean;Jack;76;1 26 06 82 906 919 27
263;Mathilde;Valls;53;1 03 07 34 168 018 42
264;Benoit;Macron;86;1 62 03 16 627 512 47
265;Marc;Lepetit;25;1 28 02 54 760 828 06
266;Roger;Ruffin;26;1 72 10 44 221 173 48
267;Mathilde;Jack;84;1 54 07 92 785 405 16
268;Mathilde;Ruffin;36;1 48 10 74 251 589 92
269;Roger;Jack;95;1 16 10 78 224 573 14
270;Benoit;Macron;38;1 31 04 12 219 641 17
271;Albert;Dugommier;11;1 34 09 86 792 067 32
272;Roger;Macron;89;1 58 08 46 142 553 81
273;Nathan;Jack;3;1 34 04 58 047 143 69
274;Albert;Dugommier;32;1 86 05 82 122 898 83
275;Marie;Jack;27;1 01 09 58 161 500 74
276;Nathan;Leforgeron;108;1 23 01 63 303 556 64
277;Jean;Leforgeron;30;1 24 11 90 474 593 69
278;Benoit;Dugommier;67;1 78 01 94 431 550 05
279;Albert;Wilson;81;1 23 06 69 558 102 80
280;Jean;Ruffin;21;1 23 11 12 481 614 98
281;Cyril;Valls;75;1 36 04 07 352 098 16
282;Mathilde;Ruffin;119;1 06 07 60 988 055 22
283;Albert;Macron;31;1 02 05 73 708 634 37
284;Cyril;Valls;113;1 76 02 11 315 814 52
285;Nathan;Jack;91;1 56 03 02 425 833 79
286;François;Dugommier;15;1 51 06 39 801 394 36
287;Albert;Lepetit;84;1 45 05 91 384 432 54
288;Marie;Ben;48;1 24 04 70 188 269 03
289;Marc;Hammon;22;1 51 04 55 506 281 96
290;Cyril;Wilson;14;1 78 08 28 788 610 95
291;Marc;Dugommier;89;1 47 08 78 580 103 75
292;Benoit;Leforgeron;69;1 83 04 94 444 014 50
293;Mathilde;Macron;14;1 88 11 78 154 643 68
294;Jean;Ben;64;1 55 11 20 466 633 40
295;Marc;Lepetit;73;1 07 01 36 723 539 12
296;Albert;Valls;57;1 86 05 86 603 509 97
297;Roger;Macron;93;1 11 01 71 407 531 25
298;Benoit;Ruffin;60;1 51 05 73 149 205 37
299;Marc;Leforgeron;85;1 86 04 82 848 800 17
300;Albert;Macron;39;1 34 11 14 827 718 66
301;Marc;Lepetit;2;1 57 11 93 607 554 38
302;Cyril;Wilson;15;1 62 03 27 968 204 93
303;Benoit;Wilson;75;1 54 08 12 383 866 84
304;Jean;Valls;107;1 71 08 17 892 805 39
305;Jean;Valls;97;1 58 09 04 537 209 80
306;Benoit;Ruffin;54;1 56 03 50 504 661 74
307;Benoit;Ben;115;1 34 06 55 923 494 12
308;François;Wilson;52;1 82 08 86 724 893 72
309;François;Valls;92;1 44 04 21 234 396 11
310;Albert;Valls;112;1 12 06 68 226 826 83
311;François;Hammon;83;1 31 04 43 968 233 30
312;Mathilde;Wilson;67;1 62 10 75 842 559 59
313;Roger;Jack;87;1 25 04 06 404 554 92
314;François;Leforgeron;115;1 56 06 40 187 776 63
315;Mathilde;Ben;61;1 53 03 06 034 828 41
316;Marie;Hammon;87;1 77 11 13 810 082 36
317;Marc;Jack;70;1 62 05 53 425 226 16
318;François;Jack;15;1 63 04 67 015 880 62
319;François;Wilson;55;1 57 01 59 407 893 78
320;Benoit;Ruffin;52;1 35 10 63 520 530 01
321;Marc;Dugommier;27;1 52 04 19 460 332 57
322;Jean;Dugommier;104;1 81 02 59 878 062 40
323;Marc;Valls;63;1 04 10 12 118 220 39
324;Nathan;Leforgeron;99;1 81 08 30 010 247 69
325;Albert;Jack;85;1 63 07 45 358 851 67
326;Roger;Wilson;88;1 12 02 34 437 108 44
327;François;Ben;26;1 76 09 35 037 813 70
328;Marie;Jack;63;1 85 07 28 887 496 58
329;Benoit;Hammon;17;1 54 10 10 988 526 68
330;Jean;Jack;1;1 07 09 73 067 491 62
331;Marie;Valls;5;1 57 05 51 339 577 60
332;Benoit;Leforgeron;24;1 85 10 19 477 920 12
333;Marc;Ben;101;1 43 02 41 431 379 81
334;Mathilde;Leforgeron;40;1 58 05 53 732 326 10
335;François;Ruffin;51;1 42 07 12 207 718 79
336;Marie;Ruffin;79;1 21 07 03 406 399 48
337;Mathilde;Hammon;94;1 21 01 60 958 075 02
338;Nathan;Macron;81;1 64 05 93 666 102 60
339;Roger;Wilson;73;1 84 01 88 483 320 49
340;François;Macron;30;1 68 06 31 170 232 36
341;Marc;Valls;27;1 43 01 18 047 739 42
342;Mathilde;Lepetit;113;1 26 09 64 941 204 25
343;Mathilde;Wilson;114;1 55 01 74 899 481 11
344;Albert;Ruffin;105;1 87 01 10 409 201 44
345;Cyril;Hammon;110;1 48 01 12 391 068 88
346;François;Dugommier;27;1 78 09 11 860 550 45
347;Albert;Wilson;116;1 37 05 09 725 255 42
348;Mathilde;Wilson;118;1 87 02 89 831 070 68
349;Mathilde;Dugommier;13;1 14 05 82 810 471 08
350;Margaux;Macron;105;1 48 06 24 492 055 23
351;François;Ben;55;1 81 11 41 148 141 95
352;Margaux;Valls;35;1 61 02 25 086 525 55
353;Mathilde;Dugommier;30;1 88 05 06 092 311 43
354;Marie;Jack;46;1 03 05 71 096 476 08
355;Marc;Macron;26;1 86 11 82 677 148 37
356;Jean;Hammon;61;1 64 08 32 674 809 91
357;Marc;Valls;72;1 43 09 03 069 357 70
358;Marie;Lepetit;89;1 07 05 84 335 161 09
359;Roger;Macron;94;1 76 01 61 843 168 47
360;Marc;Dugommier;19;1 11 06 14 548 167 09
361;François;Ruffin;115;1 04 11 68 407 768 85
362;Jean;Jack;115;1 58 09 72 509 026 51
363;Marie;Hammon;61;1 04 11 59 239 005 57
364;Marc;Leforgeron;53;1 78 08 05 152 398 33
365;Albert;Macron;107;1 11 09 25 923 502 90
366;Nathan;Leforgeron;47;1 26 03 33 860 573 35
367;François;Leforgeron;56;1 04 01 69 298 849 80
368;Marie;Hammon;113;1 65 03 71 658 535 21
369;Cyril;Macron;7;1 84 11 22 668 948 34
370;Cyril;Jack;35;1 43 03 91 619 373 54
371;Benoit;Ben;29;1 64 05 04 674 329 60
372;Jean;Wilson;104;1 48 11 13 989 659 60
373;Nathan;Wilson;6;1 67 07 67 889 245 11
374;Marc;Hammon;109;1 13 09 13 352 946 84
375;Nathan;Wilson;73;1 78 07 12 482 518 57
376;Mathilde;Jack;25;1 42 05 18 459 892 13
377;François;Leforgeron;44;1 08 06 12 030 736 52
378;Cyril;Lepetit;116;1 22 04 74 698 540 28
379;Margaux;Dugommier;112;1 38 07 44 554 870 83
380;Nathan;Wilson;28;1 75 04 15 842 876 29
381;Roger;Ben;33;1 16 10 87 924 698 15
382;Nathan;Hammon;72;1 43 11 13 068 856 58
383;Margaux;Lepetit;41;1 47 04 50 866 730 64
384;Marie;Wilson;37;1 76 10 92 925 468 09
385;François;Ruffin;66;1 84 11 87 764 311 89
386;Roger;Wilson;86;1 11 08 01 310 537 59
387;Roger;Jack;111;1 32 02 74 108 046 67
388;Mathilde;Jack;24;1 76 09 54 676 476 64
389;Benoit;Lepetit;2;1 71 05 53 303 990 21
390;Roger;Macron;62;1 06 04 77 783 789 51
391;Benoit;Lepetit;22;1 31 06 28 653 107 13
392;Marc;Lepetit;8;1 63 08 77 234 384 91
393;Nathan;Dugommier;106;1 35 03 46 120 457 60
394;Roger;Valls;62;1 27 01 08 942 592 62
395;Nathan;Ben;90;1 34 10 76 905 545 29
396;Roger;Hammon;112;1 48 10 55 247 625 90
397;Margaux;Valls;72;1 07 07 15 609 055 92
398;Jean;Lepetit;96;1 17 05 28 955 203 93
399;Roger;Valls;92;1 47 01 76 253 210 49
400;Marie;Macron;115;1 37 11 85 300 428 44
401;François;Valls;93;1 15 04 05 157 960 30
402;Jean;Jack;92;1 73 02 88 836 838 04
403;Cyril;Valls;99;1 83 09 82 671 997 46
404;François;Macron;114;1 13 04 34 696 857 98
405;François;Ruffin;55;1 44 04 92 558 956 30
406;Jean;Wilson;85;1 68 03 83 087 080 89
407;Marie;Hammon;63;1 88 04 43 919 420 53
408;François;Wilson;109;1 26 06 69 189 405 87
409;Marie;Valls;76;1 83 10 85 072 129 09
410;Margaux;Leforgeron;40;1 02 08 80 903 638 70
411;Albert;Wilson;116;1 41 05 44 900 910 82
412;Nathan;Ben;41;1 58 05 54 953 386 20
413;Benoit;Jack;42;1 21 09 09 774 933 77
414;Marc;Dugommier;60;1 18 05 36 969 504 62
415;François;Valls;92;1 27 07 49 808 855 15
416;Cyril;Wilson;51;1 07 07 67 039 660 27
417;Cyril;Ben;114;1 81 05 25 844 713 34
418;Marie;Valls;57;1 07 01 87 540 586 26
419;Nathan;Macron;9;1 54 01 05 021 326 24
420;Nathan;Ben;67;1 76 07 36 810 894 48
421;Margaux;Lepetit;35;1 14 06 28 515 203 91
422;Nathan;Ruffin;18;1 45 08 80 418 323 64
423;Marc;Ruffin;9;1 86 08 17 912 866 65
424;Jean;Macron;20;1 73 04 53 711 502 52
425;Albert;Valls;41;1 02 01 24 368 593 96
426;Albert;Jack;113;1 15 03 43 967 009 29
427;Jean;Macron;35;1 42 06 83 181 791 30
428;Albert;Jack;45;1 45 06 44 030 057 01
429;Cyril;Lepetit;38;1 12 09 61 875 562 25
430;Margaux;Leforgeron;46;1 48 06 42 010 304 06
431;Cyril;Lepetit;10;1 56 07 44 405 937 67
432;Mathilde;Hammon;117;1 38 05 39 636 656 32
433;Margaux;Ben;25;1 66 06 58 208 897 16
434;Marie;Ben;94;1 11 07 67 482 807 41
435;Margaux;Jack;10;1 37 02 83 553 350 11
436;Roger;Wilson;75;1 65 05 23 867 404 50
437;Roger;Lepetit;13;1 33 08 43 865 968 69
438;Roger;Wilson;12;1 57 06 94 539 509 23
439;Marc;Dugommier;90;1 15 06 36 070 238 55
440;François;Lepetit;87;1 85 10 70 076 469 17
441;Roger;Leforgeron;99;1 23 04 29 910 048 40
442;Margaux;Hammon;106;1 13 02 42 410 373 54
443;François;Hammon;35;1 72 04 48 318 767 67
444;Benoit;Jack;17;1 18 02 40 199 917 39
445;François;Jack;99;1 62 11 05 647 831 28
446;Nathan;Valls;77;1 37 02 30 274 200 32
447;François;Valls;8;1 32 04 46 621 175 29
448;Roger;Hammon;15;1 74 07 18 822 729 67
449;Benoit;Wilson;36;1 52 11 43 141 965 28
450;Marc;Dugommier;39;1 81 09 11 032 599 37
451;Nathan;Dugommier;16;1 21 01 55 155 447 50
452;Roger;Hammon;3;1 23 11 49 977 432 73
453;Marc;Valls;13;1 25 05 33 414 797 43
454;Margaux;Leforgeron;36;1 87 10 90 150 276 06
455;Nathan;Ruffin;97;1 52 09 19 573 266 64
456;Marc;Hammon;104;1 04 07 05 926 310 81
457;Albert;Leforgeron;111;1 33 08 14 514 095 92
458;Marc;Ruffin;59;1 81 08 23 255 042 87
459;Benoit;Valls;115;1 46 08 67 633 267 17
460;Margaux;Ruffin;103;1 74 03 82 921 160 30
461;François;Wilson;6;1 01 04 51 812 666 24
462;Margaux;Ben;58;1 18 07 74 050 033 22
463;Benoit;Dugommier;116;1 62 09 92 717 459 72
464;Roger;Ruffin;6;1 83 10 72 166 954 20
465;Roger;Lepetit;95;1 64 09 40 038 464 92
466;Marc;Ben;27;1 45 03 64 170 327 36
467;Albert;Valls;92;1 22 03 25 070 801 59
468;Margaux;Ben;22;1 84 07 46 297 192 74
469;Cyril;Hammon;60;1 85 08 12 590 490 93
470;François;Hammon;36;1 31 11 23 590 886 36
471;François;Dugommier;113;1 56 08 60 735 325 04
472;François;Jack;2;1 73 05 01 445 225 32
